player,fname,lname,posd,start,cteam,comb_player
CM-1600,Clinton,McDonald,RDT,2009,TB,"Clinton McDonald, TB RDT"
CM-1850,Connor,McGovern,LG,2016,DEN,"Connor McGovern, DEN LG"
CM-2125,Cassanova,McKinzy,LDE,2016,LA,"Cassanova McKinzy, LA LDE"
CM-2245,Cameron,Meredith,LWR,2015,CHI,"Cameron Meredith, CHI LWR"
CM-2280,Christine,Michael,RB,2013,GB,"Christine Michael, GB RB"
CM-2425,Chris,Milton,RCB,2016,IND,"Chris Milton, IND RCB"
CM-2675,Chris,Moore,RWR,2016,BAL,"Chris Moore, BAL RWR"
CM-2850,Corey,Moore,FS,2015,HOU,"Corey Moore, HOU FS"
CM-3250,C.J.,Mosley,ILB,2014,BAL,"C.J. Mosley, BAL ILB"
CM-3400,Captain,Munnerlyn,RCB,2009,MIN,"Captain Munnerlyn, MIN RCB"
CN-0250,Carl,Nassib,LDE,2016,CLE,"Carl Nassib, CLE LDE"
CN-0450,Corey,Nelson,ILB,2014,DEN,"Corey Nelson, DEN ILB"
CN-0500,Cam,Newton,QB,2011,CAR,"Cam Newton, CAR QB"
CO-0050,Cedric,O'Neal,RB,2016,BUF,"Cedric O'Neal, BUF RB"
CO-0350,Cedric,Ogbuehi,RT,2015,CIN,"Cedric Ogbuehi, CIN RT"
CP-0500,Carson,Palmer,QB,2003,ARI,"Carson Palmer, ARI QB"
CP-0525,Chris,Pantale,TE,2013,MIA,"Chris Pantale, MIA TE"
CP-0575,Cody,Parkey,PK,2014,CLE,"Cody Parkey, CLE PK"
CP-0750,Cordarrelle,Patterson,RWR,2013,MIN,"Cordarrelle Patterson, MIN RWR"
CP-0775,Charone,Peake,LWR,2016,NYJ,"Charone Peake, NYJ LWR"
CP-0800,Cedric,Peerman,RB,2009,CIN,"Cedric Peerman, CIN RB"
CP-0850,Claude,Pelon,LDE,2016,NYJ,"Claude Pelon, NYJ LDE"
CP-1300,Corey,Peters,NT,2010,ARI,"Corey Peters, ARI NT"
CP-2000,Christian,Ponder,QB,2011,SF,"Christian Ponder, SF QB"
CP-2500,Chris,Prosinski,FS,2011,CHI,"Chris Prosinski, CHI FS"
