player,fname,lname,posd,start,cteam,comb_player
AH-3650,Austin,Hooper,TE,2016,ATL,Austin Hooper
AH-3700,Austin,Howard,RT,2010,OAK,Austin Howard
AH-3800,Adrian,Hubbard,INA,2014,INA,Adrian Hubbard
AH-3850,Andrew,Hudson,INA,2015,INA,Andrew Hudson
AH-3862,Adam,Humphries,LWR,2015,TB,Adam Humphries
AH-3875,Akeem,Hunt,RB,2015,HOU,Akeem Hunt
AH-3900,Allen,Hurns,RWR,2014,JAC,Allen Hurns
AJ-0100,Al,Jackson,INA,2000,INA,Al Jackson
AJ-0200,Alonzo,Jackson,INA,2003,INA,Alonzo Jackson
AJ-0250,Andrew,Jackson,INA,2014,INA,Andrew Jackson
AJ-0300,Arnold,Jackson,INA,2001,INA,Arnold Jackson
AJ-0350,Asa,Jackson,LCB,2012,DET,Asa Jackson
AJ-0375,Andy,Janovich,FB,2016,DEN,Andy Janovich
AJ-0400,A.J.,Jefferson,INA,2010,INA,A.J. Jefferson
AJ-0415,Anthony,Jefferson,INA,2015,INA,Anthony Jefferson
AJ-0430,Alshon,Jeffery,LWR,2012,CHI,Alshon Jeffery
AJ-0460,A.J.,Jenkins,INA,2012,INA,A.J. Jenkins
AJ-0500,Adam,Jennings,INA,2006,INA,Adam Jennings
AJ-0600,Ade,Jimoh,INA,2003,INA,Ade Jimoh
AJ-0700,Al,Johnson,INA,2004,INA,Al Johnson
AJ-0800,Albert,Johnson,INA,2002,INA,Albert Johnson
AJ-0900,Andre,Johnson,INA,2003,INA,Andre Johnson
AJ-1000,Anthony,Johnson,INA,1990,INA,Anthony Johnson
AJ-1050,Anthony,Johnson,LDE,2014,NYJ,Anthony Johnson
AJ-1100,Antonio,Johnson,INA,2007,INA,Antonio Johnson
AJ-1112,Antonio,Johnson,INA,2015,INA,Antonio Johnson
AJ-1125,Austin,Johnson,RB,2012,TB,Austin Johnson
AJ-1137,Austin,Johnson,NT,2016,TEN,Austin Johnson
AJ-1150,Abry,Jones,DT,2013,JAC,Abry Jones
AJ-1200,Adam,Jones,RCB,2005,CIN,Adam Jones
AJ-1300,Adrian,Jones,INA,2004,INA,Adrian Jones
AJ-1400,Aki,Jones,INA,2005,INA,Aki Jones
AJ-1450,Andy,Jones,RWR,2016,DAL,Andy Jones
AJ-1500,Arthur,Jones,DT,2010,IND,Arthur Jones
AJ-1600,Akeem,Jordan,INA,2007,INA,Akeem Jordan
AJ-1700,Andrew,Jordan,INA,1994,INA,Andrew Jordan
AJ-1800,Antony,Jordan,INA,1998,INA,Antony Jordan
AJ-1900,Alex,Joseph,INA,2010,INA,Alex Joseph
AK-0100,Aaron,Kampman,INA,2002,INA,Aaron Kampman
AK-0200,Alain,Kashama,INA,2004,INA,Alain Kashama
AK-0300,Andy,Katzenmoyer,INA,1999,INA,Andy Katzenmoyer
AK-0325,Anthony,Kelly,INA,2016,INA,Anthony Kelly
AK-0350,Akeem,King,FS,2015,ATL,Akeem King
AK-0400,Andre,King,INA,2001,INA,Andre King
AK-0500,Andy,King,INA,2002,INA,Andy King
AK-0600,Austin,King,INA,2004,INA,Austin King
AK-0625,Andrae,Kirk,INA,2015,INA,Andrae Kirk
AK-0650,A.J.,Klein,SLB,2013,CAR,A.J. Klein
AK-0700,Adrian,Klemm,INA,2000,INA,Adrian Klemm
AK-0800,Aaron,Koch,INA,2000,INA,Aaron Koch
AK-0900,Adam,Koets,INA,2007,INA,Adam Koets
AK-0950,Arie,Kouandjio,RG,2015,WAS,Arie Kouandjio
AK-1000,Adi,Kunalic,INA,2011,INA,Adi Kunalic
AK-1100,Alex,Kupper,INA,2013,INA,Alex Kupper
AL-0100,Antwan,Lake,INA,2002,INA,Antwan Lake
AL-0200,Austen,Lane,INA,2010,INA,Austen Lane
AL-0300,Antonio,Langham,INA,1994,INA,Antonio Langham
AL-0325,Anthony,Lanier,LDE,2016,WAS,Anthony Lanier
AL-0350,Al,Lapuaho,INA,2013,INA,Al Lapuaho
AL-0400,Amp,Lee,INA,1992,INA,Amp Lee
AL-0500,Andy,Lee,P,2004,CAR,Andy Lee
AL-0600,Ashley,Lelie,INA,2002,INA,Ashley Lelie
AL-0620,Alec,Lemon,INA,2013,INA,Alec Lemon
AL-0650,Anthony,Levine,ILB,2010,BAL,Anthony Levine
AL-0700,Andy,Levitre,LG,2009,ATL,Andy Levitre
AL-0800,Alex,Lewis,INA,2004,INA,Alex Lewis
AL-0850,Alex,Lewis,LG,2016,BAL,Alex Lewis
AL-0900,Andre,Lott,INA,2002,INA,Andre Lott
AL-0950,Al,Louis-Jean,INA,2014,INA,Al Louis-Jean
